key	distance
#forge:is_desert	0
#forge:is_lush	nil
#forge:is_taiga	nil
#forge:is_savanna	nil
#forge:is_water	nil
#forge:is_forest	nil
#forge:is_wasteland	nil
#forge:is_jungle	nil
#forge:is_dense	nil
#forge:is_plateau	nil
#forge:is_swamp	nil
#forge:is_sparse	nil
#forge:is_hill	nil
#forge:is_overworld	nil
#forge:is_deep_ocean	nil
#forge:is_spooky	nil
#forge:is_snowy	nil
#forge:is_slope	nil
#forge:is_sandy	0
#forge:is_mushroom	nil
#forge:is_plains	nil
#forge:is_hot	0
#forge:is_peak	nil
#forge:is_dry	0
#forge:is_mountain	nil
#forge:is_coniferous	nil
#forge:is_cold	nil
#forge:is_ocean	nil
#forge:is_river	nil
